notes, tabs
D2;G1,B3;G0
G1;F+2;D2,G0;e2;B3
D2;F+2;G1,B3;e2;G0
G1;F+2;D2,G0;e2;B3
C2;G1;C1;E1,B1;G0;A3;D2
C2;G1,B1;G0
D2;F+2;G1,B3;e2;G0
G1;F+2;D2,G0;e2;B3
D2;F+2;G1,B3;e2;G0
D1;E2;D2,D0;e0;B3
D2;E2;D1,B3;e0;D0
D2;E2;A2;D1,B3;e0;G2;D0
A2;F+2;D2;D1,G2;e2;B3;D0
A2;G2;D1;D2,G2;e3;D0;B3
D2;E2;D1;A2,B3;e0;D0;G2
D1;F+2;D2;A2,D0;e2;B3;G2
D1;E2;A2;D2,D0;e0;G2;B3
D2;F+2;A2;D1,B3;e2;G2;D0
A2;G2;D2;D1,G2;e3;B3;D0
A2;G2;D1;D2,G2;e3;D0;B3
D2;G2;D1;A2,B3;e3;D0;G2
E1;G2;D2;C1;G1,D2;e3;B3;A3;G0
D2;G1;E1,B3;G0;D2
D2;F+2;G1,B3;e2;G0
G1;F+2;D2,G0;e2;B3
D2;F+2;G1,B3;e2;G0
G1;E2;D2,G0;e0;B3
D2;E2;G1,B3;e0;G0
G1;E2;D2,G0;e0;B3
D2;F+2;G1,B3;e2;G0
G1;F+2;D2,G0;e2;B3
D2;E2;G1,B3;e0;G0
D2,G7
E2,G9
A3,e5
G2,B8
E2,B5
D2,G7
C2,G5
A2,D7
D2,G7
C2,G5
A2,D7
G1,D5
F1,A8
G2,B8
A3,B10
C3,e8
C3,e8
C3,e8
D3,e10
C3,e8
A3,e5
G2,B8
A3,B10
C3,e8
D3,e10
C3,e8
A3,B10
G2,B8
F2,G10
G2,B8
A3,B10
D2,G7
E2,G9
A3,e5
G2,B8
E2,B5
D2,G7
C2,G5
A2,D7
D2,G7
C2,G5
A2,D7
G1,D5
E1,A7
G1,D5
A2,D7
C2,G5
A2,D7
C2,G5
C2,G5
G1,D5
A3,e5
G2,B8
E2,B5
D2,G7
C2,G5
A2,D7
D2,G7
C2,G5
A2,D7
G1,D5
A2,D7
G1,D5
F1,A8
F1,A8
A2,A12
C2,D10
F2,G10
D2,D12
C2,D10
A2,A12
C2,D10
D2,D12
E2,D14
G2,G12
E2,D14
G2,G12
A3,G14
C3,B13
D3,B15
E3,B17
D3,B15
C3,B13
D3,B15
C3,B13
C3,B13
G3,e15
A4,e17
G3,e15
E3,e12
D3,B15
E3,B17
D3,B15
C3,B13
A3,G14
C3,B13
D3,B15
E3,B17
D3,B15
C3,B13
A3,G14
C3,B13
D3,B15
E3,B17
D3,B15
C3,B13
A3,G14
C3,B13
D3,B15
E3,B17
D3,B15
C3,B13
A3,G14
C3,B13
D3,B15
E3,B17
D3,B15
C3,B13
A3,G14
C3,B13
D3,B15
E3,B17
D3,B15
C3,B13
A3,G14
C3,B13
D3,B15
E3,B17
D3,B15
C3,B13
A3,G14
C3,B13
D3,B15
E3,B17
D3,B15
C3,B13
A3,G14
C3,B13
D3,B15
E3,B17
D3,B15
C3,B13
A3,G14
C3,B13
D3,B15
E3,B17
D3,B15
C3,B13
A3,G14
C3,B13
D3,B15
E3,B17
D3,B15
C3,B13
A3,G14
C3,B13
G3,e15
A4,e17
A4,e17
G3,e15
E3,e12
D3,B15
E3,e12
D3,B15
C3,B13
A3,G14
C3,B13
D3,B15
C3,B13
A3,G14
C3,B13
D3,B15
E3,B17
G3,e15
D3,B15
E3,B17
D3,B15
C3,B13
A3,G14
C3,B13
B3,B12
C3,B13
A3,B10
D3,G19
E3,G21
E3;G3,G21;B20
A4,e17
G3,B20
G3,B20
D3,G19
E3,G21
D3,G19
C3,G17
A3,D19
D3,G19
C3,G17
A3,D19
D3,G19
D3,G19
E3,G21
G+2,G13
G2,G12
G+2,G13
F2,G10
A3,G14
C3,G17
A3,G14
C3,G17
A3,G14
G2,G12
A3,G14
G2,G12
G2,G12
A3,G14
F2,G10
A3,G14
F2,G10
G2,G12
F2,G10
E2,G9
D2,G7
C2,D10
D2,G7
C2,D10
D2,G7
E2,G9
D2,G7
C2,D10
A2;C3,D7;e8
B3,e7
C3,e8
A3,e5
E3,B17
C4,e20
A4,e17
E3,B17
C4,e20
A4,e17
E3,B17
C4,e20
A4,e17
E3,B17
C4,e20
A4,e17
E3,B17
C4,e20
A4,e17
E3,B17
C4,e20
D4,e22
A2;A3;C2;E1;E2;A1,D7;e5;G5;A7;B5;E5
G1;G2;G0;D1;B2;D2,D5;e3;E3;A5;G4;B3
C2;F2;A2;F0;F1;C1,B1;e1;G2;E1;D3;A3
D1;G2;D2;G1;B2;G+0,A5;e3;B3;D5;G4;E4
C2;A3;A2;E2;E1;A1,G5;e5;D7;B5;A7;E5
G1;G2;G0;B2;D2;D1,D5;e3;E3;G4;B3;A5
A2;F2;C1;F0;F1;C2,G2;e1;A3;E1;D3;B1
D2;G2;D1;B2;G1;G+0,B3;e3;A5;G4;D5;E4
A1;A3;E2;A2;E1;C2,E5;e5;B5;D7;A7;G5
G1;G2;B2;D2;G0;D1,D5;e3;G4;B3;E3;A5
F1;F2;C1;F0;C2;A2,D3;e1;A3;E1;B1;G2
G+0;G2;B2;D1;G1;D2,E4;e3;G4;A5;D5;B3
E2;A3;A1;A2;C2;E1,B5;e5;E5;D7;G5;A7
B2;G2;D2;G1;G0;D1,G4;e3;B3;D5;E3;A5
F1;F2;C1;C2;A2;F0,D3;e1;A3;B1;G2;E1
F0,E1
G0,E3
A1,E5
C1,A3
D1,A5
E1,A7
D1,A5
C1,A3
G0;G2;D1;D2;G1;B2,E3;e3;A5;B3;D5;G4
A1,E5
A1,E5
G0,E3
G0,E3
F0,E1
G0,E3
A1,E5
C1,A3
D1,A5
E1,A7
D1,A5
C1,A3
E2;A3;A1;A2;C2;E1,B5;e5;E5;D7;G5;A7
D2;G2;D1;G1;G0;B2,B3;e3;A5;D5;E3;G4
F1;F2;C2;A2;C1;F0,D3;e1;B1;G2;A3;E1
G1;G2;G+0;D2;D1;B2,D5;e3;E4;B3;A5;G4
E1;A3;C2;A1;E2;A2,A7;e5;G5;E5;B5;D7
A1,E5
G0;G2;D2;B2;D1;G1,E3;e3;B3;G4;A5;D5
G0,E3
F0;F2;C2;F1;C1;A2,E1;e1;B1;D3;A3;G2
F0,E1
G0,E3
A1,E5
C1,A3
D1,A5
E1,A7
D1,A5
C1,A3
A1,E5
A1,E5
G0,E3
G0,E3
A2;E2;C2;F1;F0,G2;e0;B1;D3;E1
F0,E1
C2;E2;A2;F1,B1;e0;G2;D3
A2;E2;C2;F1,G2;e0;B1;D3
A2;E2;F1;C2,G2;e0;D3;B1
C2;E2;F1;A2,B1;e0;D3;G2
A1,E5
A1,E5
A1,E5
A1,E5
G0,E3
G0,E3
A2;E2;C2;F1;F0,G2;e0;B1;D3;E1
F1;E2;A2;C2,D3;e0;G2;B1
C2;E2;A2;F1,B1;e0;G2;D3
A2;E2;C2;F1,G2;e0;B1;D3
G1;E2;D1;B2,G0;e0;D0;B0
G2,B8
A3,B10
C3,e8
D3,e10
A3,B10
G2,B8
A3,B10
A3,B10
C2,G5
D2;D2,B3;G7
D2;A2;F1,B3;G2;D3
D2,G7
E2;E2,B5;G9
F2,G10
G2;G2,G12;B8
G2,G12
A3;A3,B10;G14
G1;E2;D1;D2,G0;e0;D0;B3
A+3,G15
C3;C3,G17;B13
A3,G14
B3;B3,G16;B12
A+3,G15
C3;C3,G17;B13
A3,G14
B3;B3,G16;B12
A+3,G15
C3;C3,G17;B13
C3;C3,G17;B13
A3,G14
B3;B3,G16;B12
A+3,G15
C3;C3,G17;B13
C3,G17
D3;D3,G19;B15
A+3,G15
C3;C3,B13;G17
A3,G14
B3;B3,B12;G16
C3,G17
D3;D3,G19;B15
A2;E2;F1;C2,G2;e0;D3;B1
A+3,G15
C3;C3,G17;B13
END, END
G0;A+2;D1,E3;g3;D0
G0,E3
D1,D0
G0,E3
D1;A+2,D0;g3
G0,E3
F+0;A2,E2;g2
F+0,E2
D1,D0
F+0,E2
A2,g2
F+0,E2
G0;A+2,E3;g3
G0,E3
D1,D0
G0,E3
A+2,g3
G0,E3
A1;C2,E5;g5
A1,E5
D1,D0
A1,E5
D1;C2,D0;g5
A1,E5
A+1;D2;D1,E6;g7;D0
A+1,E6
D1,D0
A+1,E6
D2,g7
A+1,E6
D1;C2;A1,D0;g5;E5
A1,E5
D1,D0
A1,E5
D1;C2,D0;g5
A1,E5
A+1;D2;D1,E6;g7;D0
A+1,E6
D1,D0
A+1,E6
D2,g7
A+1,E6
B1;D2,E7;g7
B1,E7
D1,D0
B1,E7
D1;D2,D0;g7
B1,E7
C1;D+2,A3;b4
C1,A3
G1,g0
C1,A3
G1;D+2,g0;b4
C1,A3
C1;D2,A3;b3
C1,A3
G1,g0
C1,A3
G1;D2,g0;b3
C1,A3
G1;D+2;C1,g0;b4;A3
C1,A3
G1,g0
C1,A3
G1;D+2,g0;b4
C1,A3
C1;D2;G1,A3;b3;g0
C1,A3
G1,g0
C1,A3
G1;D2,g0;b3
C1,A3
F+0;D2,E2;b3
F+0,E2
A2,g2
F+0,E2
A2;D2,g2;b3
F+0,E2
G0;C2,E3;b1
G0,E3
A+2,g3
G0,E3
A2,g2
A1;C+2,A0;b2
A1,A0
G1,g0
A1,A0
G1;C+2,g0;b2
A1,A0
D1;C2,D0;b1
D1,D0
A2,g2
D1,D0
C2,b1
D1,D0
A+2;D1;G0,g3;D0;E3
G0,E3
D1,D0
G0,E3
A+2;D1,g3;D0
G0,E3
F+0;A2,E2;g2
F+0,E2
D1,D0
F+0,E2
A2,g2
F+0,E2
G0;A+2,E3;g3
G0,E3
D1,D0
G0,E3
A+2,g3
G0,E3
A1;C2,E5;g5
A1,E5
D1,D0
A1,E5
C2;D1,g5;D0
A1,E5
A+1;D1;D2,E6;D0;g7
A+1,E6
D1,D0
A+1,E6
D2,g7
A+1,E6
A1;D1;C2,E5;D0;g5
A1,E5
D1,D0
A1,E5
C2;D1,g5;D0
A1,E5
D2;D1;A+1,g7;D0;E6
A+1,E6
D1,D0
A+1,E6
D2,g7
A+1,E6
B1;D2,E7;g7
B1,E7
D1,D0
B1,E7
D2;D1,g7;D0
B1,E7
C1;D+2,A3;b4
C1,A3
G1,g0
C1,A3
G1;D+2,g0;b4
C1,A3
C1;D2,A3;b3
C1,A3
G1,g0
C1,A3
G1;D2,g0;b3
C1,A3
G1;D+2;C1,g0;b4;A3
C1,A3
G1,g0
C1,A3
G1;D+2,g0;b4
C1,A3
C1;D2;G1,A3;b3;g0
C1,A3
G1,g0
C1,A3
G1;D2,g0;b3
C1,A3
F+0;D2,E2;b3
F+0,E2
A2,g2
F+0,E2
A2;D2,g2;b3
F+0,E2
G0;C2,E3;b1
G0,E3
A+2,g3
G0,E3
A2,g2
A1;C+2,A0;b2
A1,A0
G1,g0
A1,A0
G1;C+2,g0;b2
A1,A0
D1;C2,D0;b1
D1,D0
A2,g2
D1,D0
C2,b1
D1,D0
C1;D+2,A3;b4
C1,A3
G1,g0
C1,A3
G1;D+2,g0;b4
C1,A3
B1;D2,A2;b3
B1,A2
G1,g0
B1,A2
G1;D2,g0;b3
B1,A2
C1;D+2,A3;b4
C1,A3
G1,g0
C1,A3
G1;D+2,g0;b4
C1,A3
B1;D2,A2;b3
B1,A2
G1,g0
B1,A2
G1;D2,g0;b3
B1,A2
G1;D2;A+1,g0;b3;A1
A+1,A1
G1,g0
A+1,A1
D2,b3
A+1,A1
A1;C2,A0;b1
A1,A0
G1,g0
A1,A0
C2,b1
A1,A0
A+1;C+2,A1;b2
A+1,A1
G1,g0
A+1,A1
C+2,b2
A+1,A1
D1;C+2,D0;b2
D1,D0
G+1,g1
D1,D0
C+2,b2
D1,D0
A+2;G0;D1,g3;E3;D0
G0,E3
D1,D0
G0,E3
D1;A+2,D0;g3
G0,E3
A2;F+0,g2;E2
F+0,E2
D1,D0
F+0,E2
A2,g2
F+0,E2
G0;A+2,E3;g3
G0,E3
D1,D0
G0,E3
A+2,g3
G0,E3
A1;C2,E5;g5
A1,E5
D1,D0
A1,E5
D1;C2,D0;g5
A1,E5
D1;D2;A+1,D0;g7;E6
A+1,E6
D1,D0
A+1,E6
D2,g7
A+1,E6
A1;D1;C2,E5;D0;g5
A1,E5
D1,D0
A1,E5
D1;C2,D0;g5
A1,E5
A+1;D1;D2,E6;D0;g7
A+1,E6
D1,D0
A+1,E6
D2,g7
A+1,E6
B1;D2,E7;g7
B1,E7
D1,D0
B1,E7
D2;D1,g7;D0
B1,E7
C1;D+2,A3;b4
C1,A3
G1,g0
C1,A3
G1;D+2,g0;b4
C1,A3
C1;D2,A3;b3
C1,A3
G1,g0
C1,A3
G1;D2,g0;b3
C1,A3
C1;D+2;G1,A3;b4;g0
C1,A3
G1,g0
C1,A3
G1;D+2,g0;b4
C1,A3
G1;D2;C1,g0;b3;A3
C1,A3
G1,g0
C1,A3
G1;D2,g0;b3
C1,A3
F+0;D2,E2;b3
F+0,E2
A2,g2
F+0,E2
A2;D2,g2;b3
F+0,E2
G0;C2,E3;b1
G0,E3
A+2,g3
G0,E3
A2,g2
A1;C+2,A0;b2
A1,A0
G1,g0
A1,A0
G1;C+2,g0;b2
A1,A0
D1;C2,D0;b1
D1,D0
A2,g2
D1,D0
C2,b1
D1,D0
C1;D+2,A3;b4
C1,A3
G1,g0
C1,A3
G1;D+2,g0;b4
C1,A3
B1;D2,A2;b3
B1,A2
G1,g0
B1,A2
G1;D2,g0;b3
B1,A2
G1;D+2;C1,g0;b4;A3
C1,A3
G1,g0
C1,A3
G1;D+2,g0;b4
C1,A3
G1;D2;B1,g0;b3;A2
B1,A2
G1,g0
B1,A2
G1;D2,g0;b3
B1,A2
A+1;D2,A1;b3
A+1,A1
G1,g0
A+1,A1
D2,b3
A+1,A1
A1;C2,A0;b1
A1,A0
G1,g0
A1,A0
C2,b1
A1,A0
A+1;C+2,A1;b2
C+1;E2,A4;b5
E1;G2,A7;b8
D1;F+2;D2;A2,D0;e2;b3;g2
D1;A3;D2;F+2,D0;e5;g7;b7
A3;C3;F+2;D1,b10;e8;g11;D0
D1,D0
A3,b10
C3,e8
A3,b10
D1,D0
A3,b10
C3,e8
A3,b10
D1;G0;A+2,D0;E3;g3
G0,E3
D1,D0
G0,E3
D1;A+2,D0;g3
G0,E3
F+0;A2,E2;g2
F+0,E2
D1,D0
F+0,E2
A2,g2
F+0,E2
G0;A+2,E3;g3
